epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,2011.25,0.97443,1.0007,1.24755,0.92065,0.484,0.54994,0.40525,0.9903,0.90622,1.22599,0.0005942,0.0005942,0.0005942
73,2039.85,0.97149,0.99699,1.24758,0.91813,0.48397,0.55089,0.4054,0.99081,0.9039,1.2312,0.0005744,0.0005744,0.0005744
74,2068.48,0.97142,0.992,1.24704,0.92341,0.48503,0.55117,0.40278,1.00308,0.9051,1.23691,0.0005546,0.0005546,0.0005546
75,2097.12,0.97678,0.99721,1.24916,0.92588,0.48432,0.55074,0.40344,1.00054,0.90265,1.23319,0.0005348,0.0005348,0.0005348
76,2125.73,0.9715,0.98796,1.24622,0.92287,0.4835,0.55233,0.40641,0.99093,0.898,1.22898,0.000515,0.000515,0.000515
77,2155,0.96239,0.98137,1.24178,0.93218,0.48104,0.55193,0.4065,0.9921,0.89815,1.22728,0.0004952,0.0004952,0.0004952
78,2183.64,0.97062,0.98436,1.24378,0.91965,0.48286,0.55151,0.40594,0.9938,0.89757,1.22921,0.0004754,0.0004754,0.0004754
79,2212.09,0.95706,0.97477,1.2395,0.92567,0.48456,0.55171,0.40657,0.99259,0.89525,1.22459,0.0004556,0.0004556,0.0004556
80,2240.88,0.96323,0.97803,1.24011,0.92694,0.48291,0.55187,0.40395,1.00211,0.89589,1.23509,0.0004358,0.0004358,0.0004358
81,2268.36,0.96026,0.98204,1.23708,0.92427,0.48327,0.55415,0.40783,0.99275,0.89133,1.22537,0.000416,0.000416,0.000416
82,2295.15,0.94704,0.96327,1.23307,0.92796,0.48424,0.5546,0.40835,0.98753,0.8866,1.22284,0.0003962,0.0003962,0.0003962
83,2321.36,0.96229,0.97756,1.23896,0.93005,0.48609,0.55441,0.40835,0.99211,0.88111,1.22329,0.0003764,0.0003764,0.0003764
84,2347.54,0.95581,0.97349,1.23344,0.92792,0.48421,0.5536,0.40738,0.99373,0.8798,1.22652,0.0003566,0.0003566,0.0003566
85,2373.66,0.9495,0.9615,1.2275,0.92961,0.48397,0.55478,0.40801,0.99101,0.87643,1.2204,0.0003368,0.0003368,0.0003368
86,2399.91,0.94764,0.96327,1.23364,0.93046,0.48405,0.55474,0.40756,0.99079,0.87818,1.22024,0.000317,0.000317,0.000317
87,2427.07,0.94271,0.9547,1.22325,0.93093,0.48468,0.55464,0.40904,0.98617,0.87902,1.21564,0.0002972,0.0002972,0.0002972
88,2454.03,0.9451,0.96827,1.22725,0.92811,0.48529,0.55447,0.40941,0.98565,0.88044,1.21765,0.0002774,0.0002774,0.0002774
89,2480.26,0.94614,0.96622,1.22943,0.92908,0.48798,0.55547,0.41016,0.98592,0.87727,1.21587,0.0002576,0.0002576,0.0002576
90,2506.47,0.9466,0.9589,1.22746,0.92834,0.48881,0.55546,0.40971,0.98591,0.87597,1.21546,0.0002378,0.0002378,0.0002378
91,2533.01,0.91323,0.8828,1.21301,0.93117,0.48784,0.55673,0.41185,0.98155,0.87008,1.20975,0.000218,0.000218,0.000218
92,2559.05,0.90567,0.87448,1.20923,0.92576,0.48975,0.55865,0.41355,0.97801,0.86512,1.209,0.0001982,0.0001982,0.0001982
93,2585.06,0.89898,0.86931,1.20916,0.92812,0.48857,0.55847,0.41397,0.97639,0.86332,1.20974,0.0001784,0.0001784,0.0001784
94,2611.09,0.89605,0.86143,1.20543,0.92846,0.48881,0.55827,0.41389,0.97539,0.86354,1.2103,0.0001586,0.0001586,0.0001586
95,2638.46,0.89625,0.86223,1.2058,0.93375,0.48857,0.55905,0.41489,0.97506,0.86117,1.20957,0.0001388,0.0001388,0.0001388
96,2665.38,0.89251,0.85969,1.20508,0.93037,0.48869,0.55877,0.41533,0.97401,0.86409,1.20907,0.000119,0.000119,0.000119
97,2692.24,0.88806,0.8555,1.20538,0.92909,0.48928,0.55875,0.41507,0.97426,0.86573,1.20991,9.92e-05,9.92e-05,9.92e-05
98,2719.03,0.8849,0.85301,1.19992,0.93122,0.48833,0.55908,0.4154,0.97368,0.865,1.20857,7.94e-05,7.94e-05,7.94e-05
99,2745.85,0.88404,0.85359,1.19965,0.9306,0.48822,0.5593,0.41501,0.97499,0.86534,1.20891,5.96e-05,5.96e-05,5.96e-05
100,2772.7,0.87736,0.84977,1.19287,0.93241,0.48881,0.55954,0.41484,0.9759,0.86533,1.21014,3.98e-05,3.98e-05,3.98e-05
